date,home_team,away_team,home_goals,away_goals,home_form_points_avg,home_form_goals_scored_avg,home_form_goals_conceded_avg,away_form_points_avg,away_form_goals_scored_avg,away_form_goals_conceded_avg,home_returning_from_break,away_returning_from_break,home_days_since_last_match,away_days_since_last_match,h2h_matches_found,h2h_home_win_rate,dc_home_win,dc_draw,dc_away_win,dc_over_2_5,dc_under_2_5
2020-08-11,Nice,Monaco,1,2,1.6,1.2,1.2,1.2,1.0,1.2,0,0,9.0,9.0,1,1.0,0.574655323833765,0.20989899609420973,0.2154456800720253,0.5597499765844886,0.4402500234155115
2020-09-02,Strasbourg,Reims,3,0,1.2,1.2,1.2,1.4,1.6,1.4,0,0,82.0,22.0,1,0.0,0.17506375414720216,0.19639429089408583,0.628541954958712,0.6002055968208388,0.39979440317916115
2020-09-02,Montpellier,St Etienne,1,0,0.8,0.8,2.0,0.4,0.4,1.4,0,0,30.0,22.0,1,1.0,0.3889329479811901,0.27489826021555874,0.3361687918032511,0.4022157989564926,0.5977842010435074
2020-09-02,Paris SG,Lyon,4,2,3.0,3.8,0.6,1.6,1.2,0.8,0,0,53.0,22.0,0,,0.6906717199789473,0.18362487793843013,0.1257034020826227,0.5546023467940432,0.4453976532059569
2020-10-01,Rennes,Marseille,0,1,1.0,1.4,1.4,2.6,1.6,0.4,0,0,59.0,60.0,0,,0.3328572299436399,0.3320124528892257,0.3351303171671343,0.23241772728853743,0.7675822727114626
2020-10-09,Lens,Paris SG,1,0,2.3333333333333335,2.6666666666666665,1.3333333333333333,3.0,3.6,1.0,0,0,59.0,37.0,0,,0.2913383506617869,0.16229582796594272,0.5463658213722702,0.9122558265048564,0.0877441734951436
2020-11-01,Nimes,Reims,2,0,1.2,1.4,2.0,1.2,1.2,1.6,0,0,82.0,60.0,0,,0.16617020841324523,0.16230009541921409,0.6715296961675408,0.6843132364475775,0.31568676355242264
2020-11-01,Bordeaux,Lyon,1,2,1.6,1.0,1.0,1.4,1.4,1.4,0,0,90.0,60.0,0,,0.30788556416224827,0.21662547721099606,0.47548895862675555,0.5618234077462868,0.4381765922537132
2020-11-01,Amiens,Montpellier,1,2,0.6,0.8,1.4,1.4,1.0,1.8,1,0,90.0,60.0,0,,0.4913976885175335,0.23732918937699243,0.271273122105474,0.4416861239016156,0.5583138760983843
2020-11-01,Angers,Nice,1,1,1.8,1.8,0.8,1.0,1.0,1.4,0,0,82.0,82.0,1,0.0,0.35064546457219326,0.23069428454578408,0.4186602508820224,0.505893659172892,0.49410634082710775
2020-11-01,Metz,Strasbourg,1,0,1.0,1.2,1.6,1.8,1.6,0.8,0,0,82.0,60.0,1,0.5,0.30394927721885445,0.2118425530118506,0.48420816976929504,0.5860744894069748,0.4139255105930253
2020-11-01,Toulouse,Brest,2,5,0.2,0.2,1.4,1.0,0.8,1.0,1,0,90.0,82.0,1,0.5,0.18900808307844458,0.2709057608504364,0.540086156071119,0.2868063352798308,0.7131936647201692
2020-11-09,Bordeaux,Lyon,0,0,1.4,1.0,1.2,1.8,1.8,1.6,0,0,8.0,8.0,1,0.0,0.2937305934668165,0.21550955038511083,0.49075985614807255,0.5450536445201607,0.4549463554798392
2020-11-12,St Etienne,Angers,0,0,0.4,0.4,1.2,2.0,2.0,0.8,0,0,71.0,11.0,0,,0.3943853949732152,0.25692701841624865,0.3486875866105362,0.4211355726918353,0.5788644273081648
2020-12-01,St Etienne,Nantes,0,2,0.6,0.4,0.8,0.8,1.2,2.2,0,1,19.0,90.0,1,1.0,0.45729644501532374,0.2750951856176064,0.2676083693670698,0.3602563198260338,0.639743680173966
2020-12-01,Dijon,Lille,1,0,1.2,1.2,1.4,2.4,2.0,0.8,1,1,90.0,90.0,0,,0.14127258616858762,0.24237171971251575,0.6163556941188966,0.3507608379710923,0.6492391620289079
2020-12-01,Paris SG,Monaco,3,3,2.4,2.4,1.0,1.2,1.2,1.4,0,1,53.0,90.0,0,,0.8397874234319627,0.10155138526896293,0.05866119129907425,0.7315966974001195,0.26840330259988043
2020-12-09,St Etienne,Strasbourg,2,0,0.4,0.4,1.2,1.8,1.6,0.4,0,0,8.0,38.0,0,,0.243942774067327,0.2738796958996553,0.4821775300330178,0.3191335579186036,0.6808664420813965
2020-12-09,Montpellier,Nice,3,1,1.8,1.2,1.8,1.0,1.0,1.4,0,0,38.0,38.0,0,,0.32046548021495946,0.2376768880935944,0.44185763169144593,0.47932194686222374,0.520678053137776
2020-12-12,Marseille,Monaco,2,1,2.6,1.4,0.4,1.4,1.8,1.8,0,0,72.0,11.0,0,,0.557020958447481,0.2368453698138825,0.20613367173863661,0.4052636173654908,0.5947363826345093
2020-12-12,Lens,Montpellier,2,3,2.5,2.25,1.0,2.4,1.6,1.4,0,0,64.0,3.0,0,,0.8303183468307713,0.09905631352015178,0.07062533964907677,0.7802879031739058,0.21971209682609405
2021-01-05,Paris SG,Lens,2,1,2.0,2.6,1.4,2.0,2.2,1.4,0,0,35.0,24.0,1,0.0,0.7493406797561146,0.12194029398606858,0.12871902625781695,0.8543142067946748,0.1456857932053251
2021-01-05,Lille,Nice,2,0,1.8,1.4,1.0,0.8,1.2,2.0,0,0,35.0,27.0,0,,0.5897355044439833,0.2285820682527439,0.18168242730327283,0.3895309199839041,0.6104690800160958
2021-01-10,Lens,Reims,2,0,1.4,2.0,1.8,1.0,1.0,1.8,0,0,5.0,70.0,1,0.5,0.6349853404780919,0.17282970231149025,0.19218495721041784,0.6764936342961926,0.3235063657038075
2021-01-12,Nantes,Marseille,0,1,1.4,1.4,1.8,2.6,1.4,0.6,0,0,42.0,31.0,0,,0.18249214350316642,0.2178991745940318,0.5996086819028017,0.431867576194936,0.568132423805064
2021-01-12,Lyon,Reims,1,2,1.4,1.2,1.4,0.8,1.0,2.2,0,0,64.0,2.0,0,,0.6118407495191929,0.20219129677110806,0.18596795370969904,0.5006924699888167,0.49930753001118344
2021-01-12,Paris SG,Nice,0,0,2.0,2.4,1.4,0.2,0.8,2.2,0,0,7.0,7.0,0,,0.8389689170146318,0.0962552303426882,0.06477585264267993,0.7498134676078417,0.2501865323921581
