date,home_team,away_team,home_goals,away_goals
2022-06-11,Toulouse,Monaco,0,2
2022-06-11,Marseille,Lyon,1,0
2022-06-11,Lille,Rennes,1,1
2022-07-01,Bordeaux,Marseille,0,1
2022-07-05,Brest,Strasbourg,0,1
2022-07-08,Marseille,Reims,4,1
2022-07-08,Toulouse,Nice,1,1
2022-07-08,Angers,Nantes,0,0
2022-07-08,Lens,Brest,3,2
2022-07-08,Lille,Auxerre,4,1
2022-07-08,Montpellier,Troyes,3,2
2022-07-08,Rennes,Lorient,0,1
2022-07-09,Lorient,Lyon,3,1
2022-07-10,Lyon,Toulouse,1,1
2022-08-01,Lens,Rennes,1,0
2022-08-04,Lorient,St Etienne,6,2
2022-08-05,Paris SG,Troyes,2,2
2022-08-05,Reims,Lens,1,2
2022-08-05,Clermont,Montpellier,2,1
2022-08-05,Angers,Bordeaux,4,1
2022-08-05,Metz,Lyon,3,2
2022-08-05,Lorient,Marseille,0,3
2022-08-10,Marseille,Ajaccio,1,2
2022-08-10,Reims,Paris SG,0,0
2022-09-01,Brest,Nice,0,3
2022-09-01,Clermont,Reims,0,0
2022-09-01,Metz,Strasbourg,0,2
2022-09-01,Nantes,Monaco,0,0
2022-09-01,Lyon,Paris SG,1,1
2022-09-04,Reims,Rennes,2,3
2022-09-04,Clermont,Paris SG,1,6
2022-09-09,Lens,Troyes,1,0
2022-09-10,Clermont,Auxerre,2,1
2022-09-10,Montpellier,Monaco,0,2
2022-09-10,Brest,Lorient,1,2
2022-09-10,Rennes,Nantes,3,0
2022-09-10,Lille,Lens,1,0
2022-09-10,Angers,Strasbourg,2,3
2022-09-10,Nice,Troyes,3,2
2022-10-04,Lens,Nice,3,0
2022-10-04,Monaco,Troyes,2,1
2022-10-04,Brest,Nantes,1,1
2022-10-04,Angers,Lille,1,1
2022-10-04,Bordeaux,Metz,3,1
2022-10-04,Strasbourg,Lyon,1,1
2022-10-04,Marseille,Montpellier,2,0
2022-10-09,Marseille,Lille,2,1
2022-10-09,Paris SG,Brest,1,0
2022-11-02,Paris SG,Rennes,1,0
2022-11-03,Lille,St Etienne,0,0
2022-11-05,Nice,St Etienne,4,2
2022-11-05,Nantes,Rennes,2,1
2022-11-09,Rennes,Auxerre,5,0
2022-11-09,Lorient,Nantes,3,2
2022-11-09,Angers,Montpellier,2,1
2022-11-09,Ajaccio,Nice,0,1
2022-11-09,Strasbourg,Clermont,0,0
2022-11-09,Monaco,Lyon,2,1
2022-11-09,Toulouse,Reims,1,0
2022-11-11,Lyon,Nice,1,1
2022-12-02,Lyon,Nice,2,0
2022-12-02,Montpellier,Lille,0,1
2022-12-03,Troyes,Nantes,1,0
2022-12-03,Montpellier,Nice,0,0
2022-12-08,Nantes,Lille,1,1
2022-12-11,Lens,Clermont,2,1
2022-12-11,Rennes,Toulouse,2,1
2023-01-01,Angers,Lorient,1,2
2023-01-01,Monaco,Brest,1,0
2023-01-01,Nantes,Auxerre,1,0
2023-01-01,Toulouse,Ajaccio,2,0
2023-01-01,Lyon,Clermont,0,1
2023-01-01,Lens,Paris SG,3,1
2023-01-02,Nantes,Marseille,0,2
2023-01-02,Reims,Lorient,4,2
2023-01-02,Toulouse,Troyes,4,1
2023-01-02,Lens,Nice,0,1
2023-01-02,Lyon,Brest,0,0
2023-01-02,Angers,Ajaccio,1,2
2023-01-02,Montpellier,Paris SG,1,3
2023-01-02,Rennes,Strasbourg,3,0
2023-01-02,Lille,Clermont,0,0
2023-01-02,Monaco,Auxerre,3,2
2023-01-04,Auxerre,Troyes,1,0
2023-01-04,Rennes,Lens,0,1
2023-01-09,Nantes,Marseille,1,1
2023-01-10,Rennes,Nantes,3,1
2023-01-10,Reims,Lyon,2,0
2023-01-10,Le Havre,Lille,0,2
2023-01-10,Nice,Brest,0,0
2023-01-10,Toulouse,Metz,3,0
2023-01-10,Lorient,Montpellier,0,3
2023-01-12,Reims,Strasbourg,2,1
2023-02-01,Strasbourg,Troyes,2,3
2023-02-01,Lille,Reims,1,1
2023-02-01,Montpellier,Marseille,1,2
2023-02-01,Rennes,Nice,2,1
2023-02-04,Lille,Lorient,3,1
2023-02-04,Angers,Nice,1,1
2023-02-04,Brest,Toulouse,3,1
2023-02-04,Clermont,Ajaccio,2,1
2023-02-04,Nantes,Reims,0,3
2023-02-04,Monaco,Strasbourg,4,3
2023-02-04,Paris SG,Lyon,0,1
2023-02-05,Toulouse,Lens,0,1
2023-02-09,Monaco,Lens,3,0
2023-02-09,Brest,Rennes,0,0
2023-02-12,Nantes,Nice,1,0
2023-02-12,Lens,Lyon,3,2
2023-03-03,Nice,Auxerre,1,1
2023-03-05,Brest,Nantes,2,0
2023-03-06,Ajaccio,Marseille,1,0
2023-03-06,Brest,Rennes,1,2
2023-03-06,Troyes,Lille,1,1
2023-03-06,Reims,Montpellier,1,3
2023-03-06,Paris SG,Clermont,2,3
2023-03-06,Nice,Lyon,3,1
2023-03-06,Nantes,Angers,1,0
2023-03-06,Lorient,Strasbourg,2,1
2023-03-06,Auxerre,Lens,1,3
2023-03-06,Monaco,Toulouse,1,2
2023-03-09,Toulouse,Clermont,2,2
2023-03-09,Metz,Reims,2,2
2023-03-09,Lyon,Paris SG,1,4
2023-03-09,Nice,Strasbourg,2,0
2023-03-09,Lille,Montpellier,1,0
2023-03-09,Le Havre,Lorient,3,0
2023-03-11,Paris SG,Montpellier,3,0
2023-03-12,Toulouse,Lorient,1,1
2023-03-12,Lille,Metz,2,0
2023-03-12,Monaco,Montpellier,2,0
2023-03-12,Brest,Clermont,3,0
2023-03-12,Le Havre,Paris SG,0,2
2023-03-12,Marseille,Rennes,2,0
2023-04-02,Paris SG,Toulouse,2,1
2023-04-02,Troyes,Lyon,1,3
2023-04-02,Rennes,Lille,1,3
2023-04-03,Lens,Lille,1,1
2023-04-03,Paris SG,Nantes,4,2
2023-04-11,Marseille,Lille,0,0
2023-04-11,Lorient,Lens,0,0
2023-05-02,Marseille,Nice,1,3
2023-05-02,Strasbourg,Montpellier,2,0
2023-05-02,Brest,Lens,1,1
2023-05-02,Auxerre,Reims,0,0
2023-05-02,Clermont,Monaco,0,2
2023-05-02,Ajaccio,Nantes,0,2
2023-05-02,Lorient,Angers,0,0
2023-05-03,Toulouse,Clermont,0,1
2023-05-03,Troyes,Monaco,2,2
2023-05-03,Strasbourg,Brest,0,1
2023-05-03,Rennes,Marseille,0,1
2023-05-03,Lyon,Lorient,0,0
2023-05-03,Reims,Ajaccio,1,0
2023-05-03,Montpellier,Angers,5,0
2023-05-11,Toulouse,Le Havre,1,2
2023-05-11,Nice,Rennes,2,0
2023-05-11,Lyon,Metz,1,1
2023-05-11,Nantes,Reims,0,1
2023-05-11,Monaco,Brest,2,0
2023-05-11,Strasbourg,Clermont,0,0
2023-06-05,Nice,Rennes,2,1
2023-06-05,Lens,Marseille,2,1
2023-06-05,Reims,Lille,1,0
2023-06-10,Strasbourg,Nantes,1,2
2023-06-12,Marseille,Lyon,3,0
2023-07-04,Lens,Strasbourg,2,1
2023-07-05,Ajaccio,Toulouse,0,0
2023-07-05,Auxerre,Clermont,1,1
2023-07-05,Lorient,Brest,2,1
2023-07-05,Nantes,Strasbourg,0,2
2023-07-05,Lyon,Montpellier,5,4
2023-07-05,Troyes,Paris SG,1,3
2023-07-05,Angers,Monaco,1,2
2023-07-10,Reims,Monaco,1,3
2023-07-10,Metz,Nice,0,1
2023-07-12,Brest,Strasbourg,1,1
2023-08-04,Angers,Lille,1,0
2023-08-04,Nice,Paris SG,0,2
2023-08-10,Lyon,Lorient,3,3
2023-08-10,Marseille,Le Havre,3,0
2023-08-10,Rennes,Paris SG,1,3
2023-08-10,Lens,Lille,1,1
2023-08-10,Brest,Toulouse,1,1
2023-08-12,Montpellier,Lens,0,0
2023-09-04,Lorient,Marseille,0,0
2023-09-04,Nantes,Monaco,2,2
2023-09-04,Troyes,Clermont,0,2
2023-09-04,Reims,Brest,1,1
2023-09-04,Montpellier,Toulouse,1,2
2023-09-04,Ajaccio,Auxerre,0,3
2023-09-04,Lyon,Rennes,3,1
2023-09-12,Paris SG,Nantes,2,1
2023-09-12,Rennes,Monaco,1,2
2023-10-02,Nice,Ajaccio,3,0
2023-10-03,Lille,Lyon,3,3
2023-10-11,Montpellier,Nice,0,0
2023-10-12,Strasbourg,Le Havre,2,1
2023-10-12,Metz,Brest,0,1
2023-10-12,Clermont,Lille,0,0
2023-10-12,Lorient,Marseille,2,4
2023-10-12,Nice,Reims,2,1
2023-10-12,Lyon,Toulouse,3,0
2023-11-01,Brest,Lille,0,0
2023-11-01,Ajaccio,Reims,0,1
2023-11-01,Auxerre,Toulouse,0,5
2023-11-01,Clermont,Rennes,2,1
2023-11-01,Lorient,Monaco,2,2
2023-11-01,Strasbourg,Lens,2,2
